ra dec u g r i z 
51.69127818 4.56366139 20.055635 20.042637 20.170412 20.345947 20.494787 
51.92866235 0.41748912 18.963715 18.909147 19.115837 19.270262 19.514301 
52.94174122 0.37568246 20.065399 20.162853 20.397455 20.490995 20.977388 
53.33266535 -0.60085307 19.779232 19.749884 19.822393 20.046209 20.23851 
55.47097775 -5.81830148 18.103718 18.251677 18.553715 18.840481 19.094255 
56.92481797 1.13994841 19.128065 19.061905 19.189198 19.354263 19.6329 
64.08767554 6.93704732 19.864273 19.818909 19.912451 20.109631 20.150173 
65.17826019 7.4438528 19.695673 19.731428 19.863583 20.05773 20.309046 
70.71714887 11.56205222 20.662064 20.198248 19.934885 19.889328 19.855543 
71.10768461 -7.02711366 20.078737 19.967648 20.292389 20.44269 20.535414 
72.53391644 -5.41561898 20.137386 20.253172 20.454048 20.535059 20.771847 
82.42325497 60.63518443 18.915066 18.821629 18.980429 19.153315 19.322985 
90.84654452 82.59696055 20.075525 20.113354 20.396482 20.579195 22.307302 
98.85277869 83.88798386 19.906967 19.978794 20.269547 20.434845 21.112827 
101.21791691 37.19563285 18.586697 18.652113 18.858242 19.063105 19.318642 
102.61177319 28.07201058 19.216139 19.267683 19.559841 19.819498 20.023228 
102.94298077 27.32426628 17.998152 18.246439 18.652946 18.949181 19.247782 
103.21150933 28.88153492 20.329756 20.411476 20.629774 20.949633 21.377924 
107.99650776 38.47954976 19.209639 19.303934 19.640955 19.942089 20.284105 
109.2877722 31.10739522 20.103615 20.103895 20.467234 20.617678 21.657536 
111.24931211 36.94043554 19.560219 19.694294 20.007195 20.267986 20.517548 
112.49629858 45.85598201 17.619625 17.675755 17.964098 18.183979 18.37665 
112.77533658 34.96137111 19.528315 19.624138 19.961901 20.149218 20.440622 
112.82920608 37.97066634 20.192997 20.342443 20.624945 20.856195 21.322432 
113.4827812 38.33906699 20.123884 20.142717 20.384258 20.680609 20.671778 
113.9678145 36.77632858 19.526121 19.577812 19.929272 20.150864 20.148048 
113.96933825 21.02664272 18.925661 19.002052 19.34836 19.683474 20.005024 
114.41612256 41.52429739 20.305761 20.377041 20.588945 20.879089 21.103365 
114.4544609 33.26628792 19.799738 19.871801 20.095768 20.534538 20.719559 
114.87259379 28.87195164 19.911324 20.033587 20.372156 20.65074 20.920446 
115.33642513 28.21265262 19.169067 19.159636 19.395716 19.598505 19.82864 
115.60581679 20.06597902 19.431219 19.509249 19.869982 20.16605 20.401028 
115.63991302 27.37742816 19.151356 19.178076 19.54841 19.648933 19.716644 
115.72355854 18.88520096 17.722424 17.76819 18.057224 18.281464 18.586987 
115.73872304 39.1050357 18.898052 18.918159 19.216064 19.448927 19.62797 
115.95462466 42.50154267 19.462643 19.560589 19.746901 19.917578 20.117466 
115.96308591 23.88946756 20.470682 20.491823 20.852837 20.947153 21.403597 
115.9638393 38.93771349 18.208076 18.323126 18.612591 18.861118 19.152647 
116.18082183 16.81418118 18.28363 18.373611 18.690151 18.970644 19.241735 
116.28095288 19.66680283 19.144722 19.244625 19.534561 19.76428 19.9687 
116.4090521 31.36816869 18.593779 18.909765 19.334656 19.625805 19.875355 
116.4467185 38.81001236 20.426739 20.449419 20.799282 20.963959 20.913881 
116.65839604 66.56075563 20.1674 20.271891 20.501083 20.648825 20.800526 
116.76245796 18.3070622 19.117355 19.122992 19.271427 19.487188 19.783342 
116.80445492 18.7888193 19.474386 19.557487 19.821276 20.041378 20.485237 
117.09695618 22.21981476 19.633282 19.507799 19.69879 19.86318 20.116104 
117.44263394 45.06291835 19.521383 19.654951 19.940086 20.138342 20.4443 
117.64144687 43.61468909 19.927372 19.906319 20.099321 20.241756 20.50676 
117.80799776 22.24539996 20.069006 20.044294 20.356199 20.610582 20.499388 
117.8394251 33.94736795 20.056339 20.081245 20.325827 20.513428 20.284706 
117.84715571 26.29561444 19.936428 20.045679 20.37183 20.742704 21.024708 
117.90354997 23.43707444 19.452118 19.545048 19.813395 20.080126 19.98103 
117.9183457 41.21236583 18.821136 18.852684 19.175205 19.413277 19.65481 
117.96708312 23.0706057 19.780594 19.887812 20.205105 20.402464 20.430437 
118.72164213 19.37365478 19.746698 19.860781 20.17568 20.454338 20.425955 
118.8363064 9.2993655 19.784082 19.771919 19.972017 20.191835 20.363518 
118.84945704 17.47366022 17.719103 17.865053 18.25824 18.544796 18.839424 
118.86890308 16.89626696 19.550312 19.629637 19.962297 20.293882 20.423689 
118.90922323 23.60740747 19.819794 19.831127 19.966471 20.282602 20.547674 
118.98331347 24.02047626 19.109493 19.157671 19.440199 19.671442 19.861029 
119.275811 41.76986697 20.289814 20.409012 20.614962 20.920868 20.758705 
119.3067997 54.16146621 19.001904 19.123997 19.414631 19.768616 20.115646 
119.63702804 16.12326501 19.715683 19.848007 20.101793 20.360487 20.53879 
