ra dec u g r i z 
2.67916009 -0.89989737 19.390957 18.937365 18.77956 18.754135 18.759607 
2.72256651 25.20204884 20.087587 20.328154 20.886583 20.985464 20.748137 
2.74686351 -9.38849683 20.099703 19.510405 19.596252 19.806992 19.998854 
2.75602294 0.73766175 20.334024 19.865591 19.914799 20.11079 20.223789 
2.78715042 0.39579087 20.935343 20.335512 20.584021 20.841305 20.974522 
2.79169654 -0.25638493 19.603642 19.364206 19.607777 19.989859 20.428747 
2.80174616 15.8693119 19.173433 19.247902 19.606359 19.902008 20.15086 
2.90550818 -10.41920855 19.036692 19.372322 19.855099 20.175577 20.396244 
2.95083659 -9.35285659 18.124132 17.723722 17.899879 18.144808 18.337408 
3.01558542 -10.35865906 20.599764 20.278063 20.223671 20.439693 20.274673 
3.08324489 -9.76544464 19.323853 18.96636 18.928028 19.009733 19.235266 
3.19003398 14.66566933 18.792542 18.154919 18.271952 18.408401 18.654663 
3.22466579 -1.01392374 19.308739 18.931252 18.857733 18.907698 19.110085 
3.27596992 0.91844296 19.848852 19.38479 19.408768 19.579861 19.624233 
3.32221525 -9.81685101 19.341417 19.101809 19.395466 19.693289 19.815626 
3.55429528 0.58552148 19.605297 19.600996 19.903496 20.215015 20.357992 
3.5649725 -10.58496698 18.730412 18.289431 18.330864 18.455692 18.746391 
3.61269889 13.84956028 18.729624 18.314899 18.318893 18.365192 18.502451 
3.67480068 -0.76682063 19.432577 18.996391 19.035151 19.146421 19.421482 
3.7034622 0.34093167 19.33334 18.90801 18.919737 18.947983 19.059475 
3.82867115 13.89246691 17.692326 17.267628 17.237911 17.288248 17.413715 
3.95493791 1.11135846 20.687704 20.345341 20.048519 20.132826 20.034843 
3.98365032 -0.08759136 18.706877 18.249956 18.294003 18.396158 18.496424 
4.02073574 -1.10749787 19.631046 19.465548 19.762255 20.087183 20.274212 
4.12107144 -0.74751691 18.703115 18.243334 18.253468 18.322298 18.511536 
4.18067105 15.40302411 18.876095 18.479336 18.399885 18.395319 18.565453 
4.22782299 15.24225917 19.494604 18.974001 19.106041 19.221245 19.471001 
4.23131744 -0.93459292 18.004526 17.677555 17.925888 18.163731 18.454615 
4.31594919 1.21979755 19.479813 19.124998 19.266678 19.472231 19.560709 
4.37757185 0.70679902 18.904318 18.910784 19.257374 19.518864 19.666239 
4.387239 -9.78246244 19.216846 19.171366 19.476204 19.771749 20.249512 
4.44076424 -0.67793744 19.264139 19.199623 19.497498 19.863003 20.102186 
4.44649789 15.86790218 19.492426 18.980265 19.113909 19.282284 19.461632 
4.57100495 14.91679772 19.970133 19.508764 19.587576 19.769547 19.998644 
4.65063726 0.53096534 17.821684 17.375694 17.527706 17.724119 17.9366 
4.66060892 0.99542074 19.583883 19.610418 19.91087 20.230549 21.097189 
4.84036431 14.68480393 19.596323 19.162428 19.014847 19.048437 19.191198 
4.86606754 -1.15086946 19.825771 19.445555 19.430401 19.485518 19.600092 
4.95256503 0.28259466 20.022285 20.087896 20.501993 20.874235 22.241308 
5.16709483 0.18509638 19.168118 18.598145 18.437979 18.342613 18.400845 
5.20596835 0.74297994 17.031399 16.786907 16.724806 16.767319 16.908184 
5.27931 -0.50475357 19.143049 18.758028 19.046677 19.371437 19.589375 
5.28974667 -0.42201311 19.648499 19.159407 19.251619 19.395615 19.411749 
5.34225074 0.29165986 18.883022 18.888666 19.223633 19.520567 19.708025 
5.36121378 -9.62059657 18.491112 18.353041 18.618799 18.8811 19.048952 
5.53189874 -10.23987845 19.910151 19.775543 20.068853 20.26371 20.558031 
5.5605138 1.08927678 19.564671 19.112244 19.282621 19.453737 19.617992 
5.6185533 0.52098774 19.707834 19.227297 19.605021 19.817656 19.969318 
5.66357083 -0.39508362 19.230537 18.860571 19.061876 19.241755 19.419046 
5.76327482 -0.79882363 20.594812 20.139114 20.106758 20.112469 20.423298 
5.77319823 -10.32765775 20.51627 20.276001 20.529205 20.898022 20.596041 
5.78772362 -0.56167045 16.536301 16.27207 16.552916 16.8395 17.057556 
5.90418155 15.90804104 20.186411 19.807503 19.963694 20.14567 20.276697 
6.12612245 -9.14859236 17.526777 17.47393 17.796638 18.062622 18.388544 
6.19647068 15.24304836 19.067656 19.01025 19.408182 19.650486 19.860188 
6.21141058 0.31970189 20.014145 19.620216 19.6038 19.6845 19.818027 
6.22901934 -11.12869493 19.724417 19.321886 19.534351 19.753731 20.136864 
6.28927789 -10.68006602 19.766312 19.479555 19.751415 20.054764 19.957798 
6.31852641 -9.87739032 18.309881 17.914425 18.085783 18.239115 18.400789 
6.37066552 -11.12306257 19.210222 19.020294 19.277245 19.529505 19.729034 
6.39474301 -10.40738109 19.403513 19.718067 20.099739 20.447138 20.680531 
6.43313007 15.75904056 19.270359 18.897438 19.056288 19.235039 19.525431 
6.4363964 -9.46088189 18.726768 18.362143 18.577343 18.804283 19.128815 
6.44147842 16.2430725 18.853262 19.12883 19.526449 19.821459 20.051609 
6.48711301 -9.54199042 19.663202 19.187662 19.156029 19.13735 19.375425 
6.50095962 -10.13213595 20.053854 19.540009 19.683786 19.920584 20.151434 
6.50954742 -10.63108125 16.75625 16.223276 16.260855 16.317484 16.501078 
6.54975825 -9.77038368 18.680769 18.446354 18.679255 18.868225 19.156038 
6.57157007 -10.48274294 18.098841 17.829844 18.044941 18.266685 18.535049 
6.58137554 -9.18633014 20.028244 20.018824 20.336096 20.57428 20.491726 
6.65201347 -10.05847672 18.05654 17.954105 18.294821 18.585402 18.864521 
6.68057153 -0.75507664 20.612877 20.359835 20.443218 20.751583 20.516403 
6.68974055 -0.42551967 17.920013 17.486683 17.378138 17.39555 17.468718 
6.70771261 0.89348607 20.441347 20.007099 20.242884 20.439602 20.571495 
6.94878362 1.11255302 20.067661 19.962954 20.293638 20.616911 20.964674 
7.0139192 -0.20373327 18.950224 18.416473 18.812281 19.059715 19.294659 
7.02143461 14.38737467 20.096136 19.730644 19.705782 19.762604 19.84148 
7.02709112 1.01999737 17.447777 17.549688 17.930151 18.217014 18.525143 
7.13437932 15.23071574 20.597742 20.026115 19.957668 19.98683 19.861153 
7.21068366 15.65276099 20.933098 20.346201 20.374691 20.389662 20.660707 
