V22  56446.707  10.833   0.047  56446.707  10.746   0.021
V22  56446.754  10.885   0.044  56446.754  10.776   0.025
V22  56446.805  10.934   0.038  56446.805  10.829   0.024
V23  56446.230  11.143   0.044  56446.230  11.115   0.032
V23  56446.297  11.128   0.028  56446.293  11.068   0.024
V23  56446.344  11.100   0.036  56446.344  11.038   0.026
V23  56446.402  11.090   0.040  56446.398  11.042   0.025
V23  56446.445  11.114   0.023  56446.441  11.078   0.024
V23  56446.500  11.155   0.031  56446.496  11.115   0.020
V23  56446.551  11.160   0.034  56446.551  11.098   0.023
V23  56446.605  11.099   0.020  56446.605  11.061   0.015
V23  56446.660  11.062   0.033  56446.660  11.032   0.024
V23  56446.711  11.097   0.028  56446.707  11.043   0.021
V23  56446.754  11.147   0.044  56446.754  11.041   0.113
V23  56446.809  11.182   0.033  56446.805  11.107   0.070
V24  56446.230  10.996   0.033  56446.230  10.930   0.022
V24  56446.297  11.062   0.035  56446.293  11.000   0.028
V24  56446.344  11.138   0.037  56446.344  11.091   0.065
V24  56446.402  11.074   0.029  56446.398  11.020   0.026
V24  56446.445  10.996   0.028  56446.441  10.944   0.025
V24  56446.500  10.944   0.026  56446.496  10.887   0.019
V24  56446.551  10.923   0.042  56446.551  10.861   0.023
V24  56446.605  10.912   0.029  56446.605  10.848   0.018
V24  56446.660  10.916   0.025  56446.660  10.864   0.018
V24  56446.711  10.946   0.040  56446.707  10.879   0.023
V24  56446.754  10.992   0.046  56446.754  10.919   0.012
V24  56446.809  11.038   0.043  56446.805  10.967   0.018
V25  56446.234  10.843   0.042  56446.230  10.738   0.018
V25  56446.297  10.894   0.039  56446.293  10.788   0.016
V25  56446.348  10.938   0.047  56446.344  10.841   0.020
V25  56446.402  11.016   0.048  56446.398  10.921   0.034
V25  56446.445  11.047   0.049  56446.441  10.959   0.027
V25  56446.500  10.907   0.048  56446.496  10.826   0.026
V25  56446.555  10.836   0.031  56446.551  10.733   0.023
V25  56446.609  10.816   0.044  56446.605  10.702   0.026
V25  56446.660  10.792   0.041  56446.660  10.686   0.023
